Year,States,States Code,Age Groups,Count
1999,Alabama,1,5-9 years,19
1999,Alabama,1,10-14 years,30
1999,Alabama,1,15-19 years,33
1999,Alabama,1,20-24 years,66
1999,Alabama,1,25-29 years,103
1999,Alabama,1,30-34 years,197
1999,Alabama,1,35-39 years,389
1999,Alabama,1,40-44 years,641
1999,Alabama,1,45-49 years,945
1999,Alabama,1,50-54 years,1417
1999,Alabama,1,55-59 years,1780
1999,Alabama,1,60-64 years ,2150
1999,Alabama,1,65-69 years,2680
1999,Alabama,1,70-74 years,2678
1999,Alabama,1,75-79 years,2219
1999,Alabama,1,80-84 years,1406
1999,Alabama,1,85+ years,1025
1999,Alaska,2,25-29 years,17
1999,Alaska,2,30-34 years,32
1999,Alaska,2,35-39 years,60
1999,Alaska,2,40-44 years,113
1999,Alaska,2,45-49 years,159
1999,Alaska,2,50-54 years,192
1999,Alaska,2,55-59 years,220
1999,Alaska,2,60-64 years ,229
1999,Alaska,2,65-69 years,227
1999,Alaska,2,70-74 years,227
1999,Alaska,2,75-79 years,171
1999,Alaska,2,80-84 years,93
1999,Alaska,2,85+ years,56
1999,Arizona,4,1-4 years,45
1999,Arizona,4,5-9 years,33
1999,Arizona,4,10-14 years,27
1999,Arizona,4,15-19 years,44
1999,Arizona,4,20-24 years,74
1999,Arizona,4,25-29 years,117
1999,Arizona,4,30-34 years,183
1999,Arizona,4,35-39 years,381
1999,Arizona,4,40-44 years,647
1999,Arizona,4,45-49 years,863
1999,Arizona,4,50-54 years,1286
1999,Arizona,4,55-59 years,1626
1999,Arizona,4,60-64 years ,2174
1999,Arizona,4,65-69 years,2869
1999,Arizona,4,70-74 years,3121
1999,Arizona,4,75-79 years,2783
1999,Arizona,4,80-84 years,1875
1999,Arizona,4,85+ years,1229
1999,California,6,< 1 year,57
1999,California,6,1-4 years,324
1999,California,6,5-9 years,268
1999,California,6,10-14 years,220
1999,California,6,15-19 years,276
1999,California,6,20-24 years,430
1999,California,6,25-29 years,884
1999,California,6,30-34 years,1554
1999,California,6,35-39 years,2765
1999,California,6,40-44 years,4670
1999,California,6,45-49 years,6802
1999,California,6,50-54 years,9522
1999,California,6,55-59 years,11422
1999,California,6,60-64 years ,13416
1999,California,6,65-69 years,16358
1999,California,6,70-74 years,18252
1999,California,6,75-79 years,17604
1999,California,6,80-84 years,11290
1999,California,6,85+ years,8815
1999,Colorado,8,1-4 years,27
1999,Colorado,8,5-9 years,28
1999,Colorado,8,10-14 years,22
1999,Colorado,8,15-19 years,44
1999,Colorado,8,20-24 years,69
1999,Colorado,8,25-29 years,124
1999,Colorado,8,30-34 years,204
1999,Colorado,8,35-39 years,343
1999,Colorado,8,40-44 years,655
1999,Colorado,8,45-49 years,950
1999,Colorado,8,50-54 years,1259
1999,Colorado,8,55-59 years,1392
1999,Colorado,8,60-64 years ,1667
1999,Colorado,8,65-69 years,1972
1999,Colorado,8,70-74 years,2108
1999,Colorado,8,75-79 years,1776
1999,Colorado,8,80-84 years,1198
1999,Colorado,8,85+ years,995
1999,Connecticut,9,1-4 years,34
1999,Connecticut,9,5-9 years,22
1999,Connecticut,9,10-14 years,20
1999,Connecticut,9,15-19 years,19
1999,Connecticut,9,20-24 years,49
1999,Connecticut,9,25-29 years,86
1999,Connecticut,9,30-34 years,157
1999,Connecticut,9,35-39 years,333
1999,Connecticut,9,40-44 years,548
